# z, uu, vv, ww, tke
7.440000000000000000e+02 9.067367242160873824e-04 8.459750416120119087e-04 6.036745104877140654e-04 1.178193138157906678e-03
7.560000000000000000e+02 8.898574622229290685e-04 8.121841562085664558e-04 5.548179694225421161e-04 1.128429793927018766e-03
7.680000000000000000e+02 8.660216778221354640e-04 8.126951069384139590e-04 5.436140777053830248e-04 1.111165431232966115e-03
7.800000000000000000e+02 8.984934759496290922e-04 8.826911515387206005e-04 5.033322325582205090e-04 1.142258430023285155e-03
7.920000000000000000e+02 9.009920045103732853e-04 8.796621725815221204e-04 4.943709801168253174e-04 1.137512578604360416e-03
8.040000000000000000e+02 8.581507268223191424e-04 9.527062243731342171e-04 4.511497272182515188e-04 1.131003339206852493e-03
8.160000000000000000e+02 8.309906906193023982e-04 1.045312101419025802e-03 4.270444174163327399e-04 1.151673604727330470e-03
8.280000000000000000e+02 8.620905835962112138e-04 1.051332125650068132e-03 3.933489278747522000e-04 1.153385818560515854e-03
8.400000000000000000e+02 8.132121103904914588e-04 9.555219801929472909e-04 3.771599997228919929e-04 1.072947045153165371e-03
8.520000000000000000e+02 8.517718334935370748e-04 8.648559376661282133e-04 3.402649770636193092e-04 1.028446374111642407e-03
8.640000000000000000e+02 8.761917047728289779e-04 8.199344327128974420e-04 3.331366866130512899e-04 1.014631412049388746e-03
8.760000000000000000e+02 9.173386163565329420e-04 8.104005166541923761e-04 2.902480362476153185e-04 1.008993584629170291e-03
8.880000000000000000e+02 9.953776405467020319e-04 8.341819510450509002e-04 2.747805136087865994e-04 1.052170052600269684e-03
9.000000000000000000e+02 1.057193405653078294e-03 8.838910964611347999e-04 2.213332276411088880e-04 1.081208864877660977e-03
9.120000000000000000e+02 1.307316163926594728e-03 8.405750775474931475e-04 2.185365358907404704e-04 1.183213888682414132e-03
9.240000000000000000e+02 1.473302407274109087e-03 8.675849207487250055e-04 1.737480793149199924e-04 1.257317703668877056e-03
9.360000000000000000e+02 1.738150209878777273e-03 1.019070252572391129e-03 1.623613892972477308e-04 1.459790925874208120e-03
9.480000000000000000e+02 1.737429493982527162e-03 1.030523328757377861e-03 1.370559436086639653e-04 1.452504383174284481e-03
9.600000000000000000e+02 1.941958843483670852e-03 1.042383421496318342e-03 1.322981543108867270e-04 1.558320209645438137e-03
9.720000000000000000e+02 1.648472912824275154e-03 9.570242026304328362e-04 1.229327217956009851e-04 1.364214918625154338e-03
9.840000000000000000e+02 1.526744046800265504e-03 9.933768812442074058e-04 1.446834002044197851e-04 1.332402164124446130e-03
9.960000000000000000e+02 1.358402807222058384e-03 9.757705595858279148e-04 1.607121310040861620e-04 1.247442748905986136e-03
