# z, Tu, Tv, Tw
8.640000000000000000e+02 8.172337555947705831e-07 3.612491010147777955e-06 4.340768393423342433e-07
8.760000000000000000e+02 -4.153171140842460053e-07 4.565795939919325688e-06 -4.067946222594179644e-07
8.880000000000000000e+02 -1.515862845621995794e-07 6.883173999710834106e-06 -7.902343457456246157e-07
9.000000000000000000e+02 4.661661259774519041e-07 6.783844493713786720e-06 -1.793778180041499031e-06
9.120000000000000000e+02 -2.259061905567705075e-06 7.274218228968720461e-06 -2.411508136362653755e-06
9.240000000000000000e+02 -6.049513203834067086e-08 3.226390285027491674e-06 -2.779348848889426489e-06
9.360000000000000000e+02 -5.853555376575059213e-06 4.270590264832207831e-06 -3.474781529281598623e-06
9.480000000000000000e+02 -9.026974147150213307e-06 3.707945420381975135e-06 -2.836117941992936076e-06
9.600000000000000000e+02 -2.532883237901160212e-05 5.561532699709914574e-06 -4.810529536342424432e-06
9.720000000000000000e+02 -5.091499737511640255e-05 5.859721226153169508e-06 -5.833216373132072874e-07
9.840000000000000000e+02 -4.250145144509360681e-05 6.143799015546846877e-06 -6.877818416256374347e-06
9.960000000000000000e+02 -1.435090824978715350e-05 2.139289364452565595e-05 -2.754235529715264114e-06
1.008000000000000000e+03 -2.644171423434045324e-05 5.622848603422880559e-07 -7.120861532507183514e-06
1.020000000000000000e+03 -5.268698368556670118e-05 1.274865448351647513e-06 -1.794815865094418348e-05
1.032000000000000000e+03 -2.476307793675687109e-05 -4.662754930984646924e-05 1.275481933774059690e-05
1.044000000000000000e+03 -2.177593295803035393e-05 2.851994058638638164e-05 1.585070742157231925e-05
1.056000000000000000e+03 -1.786679182138186750e-05 -9.327065757622677008e-06 -1.378977018715816820e-05
1.068000000000000000e+03 6.354529326234797460e-05 1.514307166285675585e-05 2.737862505969101908e-05
1.080000000000000000e+03 9.821789380919199544e-05 -1.626863175470134515e-05 6.539662441784095540e-05
1.092000000000000000e+03 3.228555085371908576e-04 1.952925134928591339e-05 8.720920520290193693e-05
1.104000000000000000e+03 2.539565160171832872e-05 -4.057129268104517973e-05 5.483871047191397923e-05
1.116000000000000000e+03 -9.983103276907740939e-05 -3.862158883046049371e-05 3.433749522455433048e-05
1.128000000000000000e+03 -3.695643722234876697e-04 -4.504050050465479996e-05 4.526248938462016399e-05
1.140000000000000000e+03 -2.223490600594004818e-04 -4.617817361478273772e-05 3.653745338609244232e-05
1.152000000000000000e+03 -1.025843410940183246e-04 -1.676307611984384550e-06 -1.283833606777928729e-05
1.164000000000000000e+03 3.639125875680519875e-05 -1.045341689054453102e-05 -1.096244190611466670e-05
1.176000000000000000e+03 9.711843045806745623e-06 -1.332886866242688472e-06 1.057173631041286815e-05
1.188000000000000000e+03 3.525973497175982524e-07 7.542168129702985975e-07 -3.694733124526085229e-06
1.200000000000000000e+03 1.796020257586405929e-06 -9.809999194544615852e-07 1.668773152608111243e-06
1.212000000000000000e+03 -1.526276729123310447e-07 8.186275590446712521e-07 -9.552460821730730336e-07
1.224000000000000000e+03 7.022141180073049132e-07 -5.730354519755564498e-07 6.847958637987423473e-07
1.236000000000000000e+03 3.456511331364708866e-07 9.708481356710763571e-07 -4.627399894727864607e-07
1.248000000000000000e+03 1.370934359010789179e-06 -6.262643849311188795e-07 3.841088338302730951e-07
1.260000000000000000e+03 6.948576445893194869e-08 4.224459238230338122e-07 -3.327057086871812214e-07
1.272000000000000000e+03 9.572119235713216788e-07 -2.025962640004763778e-07 2.719729787507295057e-07
1.284000000000000000e+03 -3.049120811397187996e-07 1.587469740798042120e-07 -1.721333864562513002e-07
1.296000000000000000e+03 4.447559086884212098e-07 -1.408953312022731635e-07 1.668676721672427482e-07
1.308000000000000000e+03 -5.757740961030322494e-07 -1.669418994936222585e-07 -8.686044636921136642e-08
1.320000000000000000e+03 1.083918155927676716e-07 -1.037747836448943394e-07 1.243685519229809745e-08
1.332000000000000000e+03 -6.498474566114964793e-07 -2.472486793351435869e-07 2.215214563857136466e-08
1.344000000000000000e+03 -2.084461627759992468e-07 -4.810475963381577450e-08 -1.162867787891560757e-07
1.356000000000000000e+03 -4.324526787172544348e-07 -2.862217367862740320e-07 8.767892551012415624e-08
1.368000000000000000e+03 -2.563556842801517678e-07 -5.733381166805884113e-08 -2.261441296863760838e-07
1.380000000000000000e+03 -1.227019546945484890e-07 -3.053896733945294067e-07 1.494833987745996696e-07
1.392000000000000000e+03 -1.435883857425323968e-07 -5.664085728653844941e-08 -2.718854142906812946e-07
1.404000000000000000e+03 1.858648775169058340e-07 -2.541242010693167767e-07 1.823237742081088874e-07
1.416000000000000000e+03 7.708260000072186826e-10 -3.003111852990514582e-08 -2.712820236762616927e-07
1.428000000000000000e+03 4.227762835739667776e-07 -1.530466503879779439e-07 1.873365496813539219e-07
1.440000000000000000e+03 1.101385373544871984e-07 -1.844650368525435609e-08 -2.431822033218875898e-07
1.452000000000000000e+03 5.377350851858864174e-07 -8.053128080973692674e-08 1.720698065211145903e-07
