# z, u, v, w, u_mag
8.400000000000000000e+02 6.304102584485074878e+00 3.866812440876754575e+00 1.485536966721688135e-03 7.395535819360942398e+00
8.520000000000000000e+02 6.303752352100698175e+00 3.868052631640387595e+00 -1.547309456518290369e-03 7.395885834159541261e+00
8.640000000000000000e+02 6.303620075303881798e+00 3.867963357430050486e+00 1.611355352416136066e-03 7.395726413589252424e+00
8.760000000000000000e+02 6.303991499709844959e+00 3.869890843128175550e+00 -1.678966736977749712e-03 7.397051222282470029e+00
8.880000000000000000e+02 6.302949107853341282e+00 3.870565353077319859e+00 1.748502899071194532e-03 7.396515846389715598e+00
9.000000000000000000e+02 6.304392941222332958e+00 3.871581737901530040e+00 -1.822230129134382861e-03 7.398278099065298541e+00
9.120000000000000000e+02 6.303831195134597110e+00 3.872005342284459584e+00 1.897137255430571354e-03 7.398021134503554030e+00
9.240000000000000000e+02 6.303517033775626999e+00 3.872553677684307250e+00 -1.977854676757398195e-03 7.398040476609658356e+00
9.360000000000000000e+02 6.303398424438684700e+00 3.872416161590015893e+00 2.057308929876296068e-03 7.397867453413833339e+00
9.480000000000000000e+02 6.303338659480583139e+00 3.873951001253852944e+00 -2.147959706366242907e-03 7.398620089580833614e+00
9.600000000000000000e+02 6.303530734768364674e+00 3.874358420535807923e+00 2.227279447283614638e-03 7.398997084451368167e+00
9.720000000000000000e+02 6.302007548421953764e+00 3.878119055313971941e+00 -2.340756069668161691e-03 7.399669724163072004e+00
9.840000000000000000e+02 6.304746552320387387e+00 3.881462723449139673e+00 2.401628453527218220e-03 7.403754975033969288e+00
9.960000000000000000e+02 6.303350761526495205e+00 3.884193619426443700e+00 -2.584185537091267856e-03 7.403998755675519128e+00
1.008000000000000000e+03 6.297557350261753228e+00 3.884993092089345623e+00 2.562147211723763817e-03 7.399486905861521358e+00
1.020000000000000000e+03 6.295715536149555369e+00 3.883736508081978567e+00 -2.922479389922923339e-03 7.397259757316182238e+00
1.032000000000000000e+03 6.294718353387088960e+00 3.881553568718163483e+00 2.623295072019026473e-03 7.395264980849165504e+00
1.044000000000000000e+03 6.294789649610486926e+00 3.878365332155524037e+00 -3.386608373082870740e-03 7.393653078933675182e+00
