# z, Tu, Tv, Tw
6.000000000000000000e+02 -4.289864864199659754e-03 -3.573447062682862368e-03 1.436433313960135092e-05
6.120000000000000000e+02 -4.287050068931932793e-03 -3.575849504126949688e-03 1.459965242716208533e-05
6.240000000000000000e+02 -4.290525499809177447e-03 -3.578406656142624296e-03 1.497237689287735888e-05
6.360000000000000000e+02 -4.287665988771572831e-03 -3.576926951575490083e-03 1.476615131962800493e-05
6.480000000000000000e+02 -4.289723170936724471e-03 -3.577533678139059158e-03 1.485702529806822796e-05
6.600000000000000000e+02 -4.295455742059209325e-03 -3.578289340793832946e-03 1.454391232356085409e-05
6.720000000000000000e+02 -4.297705901084236495e-03 -3.578804035084715614e-03 1.505078618988901163e-05
6.840000000000000000e+02 -4.293392273445021876e-03 -3.579668765374162745e-03 1.527346732426816811e-05
6.960000000000000000e+02 -4.296984770562619141e-03 -3.580392073557050157e-03 1.472303898139620830e-05
7.080000000000000000e+02 -4.285425935119871986e-03 -3.580802740134754383e-03 1.428347316941359697e-05
7.200000000000000000e+02 -4.294083080595271530e-03 -3.582356818249854673e-03 1.436843260862474870e-05
7.320000000000000000e+02 -4.285611402991560195e-03 -3.583744724095083625e-03 1.284932280935795951e-05
7.440000000000000000e+02 -4.296932415205708192e-03 -3.584558741177568380e-03 1.337278930351510355e-05
7.560000000000000000e+02 -4.316686615996320926e-03 -3.584090661553227409e-03 1.230744614987919448e-05
7.680000000000000000e+02 -4.310173295380775871e-03 -3.583841279678529404e-03 1.271272417063158383e-05
7.800000000000000000e+02 -4.355531993854958560e-03 -3.582332970690106123e-03 1.117186641813650748e-05
7.920000000000000000e+02 -4.378218159328821531e-03 -3.580469006021530683e-03 1.283812830569859512e-05
8.040000000000000000e+02 -4.363581382528798625e-03 -3.580060701153877506e-03 7.722945450808402009e-06
8.160000000000000000e+02 -4.318053457004328126e-03 -3.581958233252328146e-03 8.805716677383997797e-06
8.280000000000000000e+02 -4.289761973769497770e-03 -3.582898245333239994e-03 7.992450029959043760e-06
8.400000000000000000e+02 -4.266907238065266623e-03 -3.585207566861254094e-03 7.700475512629579588e-06
8.520000000000000000e+02 -4.249422701611206728e-03 -3.586815905515129601e-03 7.606764253573763586e-06
8.640000000000000000e+02 -4.230108206027682546e-03 -3.590673185952096124e-03 6.213236418833581050e-06
8.760000000000000000e+02 -4.212643797408509305e-03 -3.593345692558864383e-03 7.002267530449615697e-06
8.880000000000000000e+02 -4.190637066444003606e-03 -3.599243395872656504e-03 4.090007536237307328e-06
9.000000000000000000e+02 -4.165782050251152883e-03 -3.606515093882455870e-03 6.096149467971505222e-06
9.120000000000000000e+02 -4.130900103737167144e-03 -3.620221991538585468e-03 1.057696262978646880e-06
9.240000000000000000e+02 -4.084694024386362546e-03 -3.640468267127391824e-03 5.041263350736985316e-06
9.360000000000000000e+02 -4.018764628214080772e-03 -3.673529667754905654e-03 -3.111221066336959803e-06
9.480000000000000000e+02 -3.914903940706733823e-03 -3.724829117009199018e-03 4.696860773061395261e-06
9.600000000000000000e+02 -3.721762375165485470e-03 -3.848510234610216536e-03 -1.037440865264577091e-05
9.720000000000000000e+02 -3.364190659163420870e-03 -4.106406157389460784e-03 8.827661768839878488e-06
9.840000000000000000e+02 -2.680182497903263027e-03 -4.559733023233593710e-03 -2.784845478413939255e-05
9.960000000000000000e+02 -1.339593264920301875e-03 -5.371737855380615857e-03 2.902739032648289514e-05
1.008000000000000000e+03 8.915207079343190517e-04 -6.608964297217971746e-03 -8.276853243760033403e-05
1.020000000000000000e+03 4.547450026234980958e-03 -8.352002191892041183e-03 1.242084505131463203e-04
1.032000000000000000e+03 1.008333206690390470e-02 -1.061850340469609397e-02 -2.752517895063875779e-04
1.044000000000000000e+03 1.663412419228148947e-02 -1.282215196662222015e-02 4.634258320352668587e-04
1.056000000000000000e+03 1.565833279563086031e-02 -1.373195294050905124e-02 -4.308799349414130318e-04
1.068000000000000000e+03 6.967003691909849118e-03 -1.326958181889195849e-02 1.720604959430578097e-04
1.080000000000000000e+03 -8.622442171925058085e-04 -1.108251437943793064e-02 1.978192571782420113e-04
1.092000000000000000e+03 -5.682387871164098873e-03 -7.131624254539190542e-03 -1.729543109400527969e-04
1.104000000000000000e+03 -8.576300146344533956e-03 -4.024455698994540767e-03 2.713013174712636299e-04
1.116000000000000000e+03 -1.176253562707230485e-02 1.468411775470553852e-03 -5.960319787502081721e-05
1.128000000000000000e+03 -1.764641235662573956e-02 7.996592991453700672e-03 1.821209045719102127e-04
1.140000000000000000e+03 -2.611021705152636457e-02 1.378351265253115882e-02 -3.745444742959193091e-04
1.152000000000000000e+03 -2.929694182495058002e-02 1.277218070690122435e-02 7.369712766297518763e-04
1.164000000000000000e+03 -1.456307750691631861e-02 3.205741424986706650e-03 -3.213809490036203327e-04
1.176000000000000000e+03 -8.176819021852224992e-03 -1.296553847675897993e-03 1.173884781442661188e-04
1.188000000000000000e+03 -5.628254026503998718e-03 -2.946317361700823752e-03 -3.838220392604204751e-05
1.200000000000000000e+03 -4.789029801879462339e-03 -3.489503581189262651e-03 1.312027062988354394e-05
1.212000000000000000e+03 -4.520454321499107857e-03 -3.654761449573277338e-03 -5.666514397571794996e-06
1.224000000000000000e+03 -4.498674863946360014e-03 -3.673950076532912432e-03 5.068638767840180210e-06
1.236000000000000000e+03 -4.525433265316462089e-03 -3.645438360449361308e-03 -5.089542708474676901e-06
1.248000000000000000e+03 -4.543525378514845850e-03 -3.627898810066028639e-03 4.791038853645930988e-06
