# z, TI
0.000000000000000000e+00 4.554464565324056746e-02
1.200000000000000000e+01 5.430804748060415882e-02
2.400000000000000000e+01 5.682595896366611499e-02
3.600000000000000000e+01 5.056527202600856474e-02
4.800000000000000000e+01 4.778002233449443747e-02
6.000000000000000000e+01 4.473461808835897668e-02
7.200000000000000000e+01 4.254311730998737440e-02
8.400000000000000000e+01 4.045735093893449569e-02
9.600000000000000000e+01 3.886923346531487994e-02
1.080000000000000000e+02 3.730390909995959237e-02
1.200000000000000000e+02 3.606846174068583516e-02
1.320000000000000000e+02 3.505508799582050805e-02
1.440000000000000000e+02 3.419084445522400928e-02
1.560000000000000000e+02 3.323327910685112963e-02
1.680000000000000000e+02 3.243693117507099460e-02
1.800000000000000000e+02 3.160568726249011334e-02
1.920000000000000000e+02 3.081012009949798611e-02
2.040000000000000000e+02 2.999296873521923798e-02
2.160000000000000000e+02 2.929199615499886514e-02
2.280000000000000000e+02 2.844301875404908406e-02
2.400000000000000000e+02 2.764576446827932826e-02
2.520000000000000000e+02 2.694502382923412431e-02
2.640000000000000000e+02 2.642022588529547092e-02
2.760000000000000000e+02 2.569806247026699270e-02
2.880000000000000000e+02 2.493491097366243303e-02
3.000000000000000000e+02 2.433387422863623334e-02
3.120000000000000000e+02 2.353187915549869585e-02
3.240000000000000000e+02 2.289185373101400647e-02
3.360000000000000000e+02 2.222947946540315342e-02
3.480000000000000000e+02 2.161713483375611242e-02
3.600000000000000000e+02 2.087812894675032671e-02
3.720000000000000000e+02 2.016727954062839598e-02
3.840000000000000000e+02 1.934361519163530982e-02
3.960000000000000000e+02 1.866504185534277604e-02
4.080000000000000000e+02 1.790785468125317276e-02
4.200000000000000000e+02 1.713207451113626933e-02
4.320000000000000000e+02 1.629859232289952373e-02
4.440000000000000000e+02 1.534760259511169615e-02
4.560000000000000000e+02 1.436604402186207434e-02
4.680000000000000000e+02 1.332376208392168498e-02
4.800000000000000000e+02 1.239229303067665433e-02
4.920000000000000000e+02 1.159120826873452463e-02
5.040000000000000000e+02 1.065304403297949627e-02
5.160000000000000000e+02 9.660130463676636428e-03
5.280000000000000000e+02 8.700478881237375811e-03
5.400000000000000000e+02 7.879465466277362634e-03
5.520000000000000000e+02 7.130280432523948206e-03
5.640000000000000000e+02 6.479748151553495032e-03
5.760000000000000000e+02 5.916983478800569296e-03
5.880000000000000000e+02 5.500920940592397661e-03
6.000000000000000000e+02 5.104526050471213869e-03
6.120000000000000000e+02 4.726371159248984703e-03
6.240000000000000000e+02 4.434885804196962017e-03
6.360000000000000000e+02 4.246484003872287930e-03
6.480000000000000000e+02 4.094358567392810885e-03
6.600000000000000000e+02 4.012193635268549406e-03
6.720000000000000000e+02 3.948719477537648154e-03
6.840000000000000000e+02 3.871515600612366118e-03
6.960000000000000000e+02 3.860532198851099935e-03
7.080000000000000000e+02 3.846152059893007905e-03
7.200000000000000000e+02 3.855017469196337677e-03
7.320000000000000000e+02 3.877484716494928110e-03
7.440000000000000000e+02 3.794971799163081912e-03
7.560000000000000000e+02 3.713581754609930185e-03
7.680000000000000000e+02 3.685103423858049256e-03
7.800000000000000000e+02 3.735888507948729228e-03
7.920000000000000000e+02 3.727936533157916957e-03
8.040000000000000000e+02 3.716364753635809353e-03
8.160000000000000000e+02 3.750330875975067292e-03
8.280000000000000000e+02 3.752748345154191013e-03
8.400000000000000000e+02 3.619543047882196711e-03
8.520000000000000000e+02 3.543804466028750971e-03
8.640000000000000000e+02 3.520169363700171618e-03
8.760000000000000000e+02 3.509497795874177203e-03
8.880000000000000000e+02 3.584170444209190936e-03
9.000000000000000000e+02 3.631774736217504435e-03
9.120000000000000000e+02 3.799021459345608507e-03
9.240000000000000000e+02 3.915179103235251479e-03
9.360000000000000000e+02 4.219186894467628207e-03
9.480000000000000000e+02 4.207200656057077937e-03
9.600000000000000000e+02 4.356900961179157455e-03
9.720000000000000000e+02 4.075375855851713289e-03
9.840000000000000000e+02 4.025044237472357941e-03
9.960000000000000000e+02 3.893780815700928141e-03
1.008000000000000000e+03 3.807394596183326201e-03
1.020000000000000000e+03 3.970263210992224477e-03
1.032000000000000000e+03 4.066562382224908970e-03
1.044000000000000000e+03 3.587612206763551165e-03
1.056000000000000000e+03 3.164139579938100421e-03
1.068000000000000000e+03 2.912908461996539192e-03
1.080000000000000000e+03 2.953297877530197072e-03
1.092000000000000000e+03 3.275054828555823676e-03
1.104000000000000000e+03 3.849526525499473613e-03
1.116000000000000000e+03 3.855088945719494908e-03
1.128000000000000000e+03 3.687038774351007048e-03
1.140000000000000000e+03 2.769223124757640327e-03
1.152000000000000000e+03 2.312810435082816776e-03
1.164000000000000000e+03 1.727573818133472470e-03
1.176000000000000000e+03 1.609116378199738949e-03
1.188000000000000000e+03 1.339831616799174764e-03
1.200000000000000000e+03 1.267305433267804484e-03
1.212000000000000000e+03 1.085482832347444901e-03
1.224000000000000000e+03 1.060235009534517790e-03
1.236000000000000000e+03 9.289258924733916718e-04
1.248000000000000000e+03 8.899087650653831347e-04
1.260000000000000000e+03 8.081927110403498661e-04
1.272000000000000000e+03 7.776397613084381653e-04
1.284000000000000000e+03 7.301530057937303912e-04
1.296000000000000000e+03 6.764283125362241912e-04
1.308000000000000000e+03 6.603105249616395868e-04
1.320000000000000000e+03 6.132929031640814823e-04
1.332000000000000000e+03 6.204646401184999143e-04
1.344000000000000000e+03 5.710087987408065877e-04
1.356000000000000000e+03 6.000647198924582331e-04
1.368000000000000000e+03 5.494933668291933967e-04
1.380000000000000000e+03 5.864118843757984033e-04
1.392000000000000000e+03 5.391133343547298024e-04
1.404000000000000000e+03 5.722580633913430326e-04
1.416000000000000000e+03 5.289443456816737658e-04
1.428000000000000000e+03 5.568409751454604347e-04
1.440000000000000000e+03 5.136495713779847764e-04
1.452000000000000000e+03 5.383831554430341211e-04
1.464000000000000000e+03 4.942775072955490987e-04
1.476000000000000000e+03 5.152508021699793959e-04
1.488000000000000000e+03 4.730005727947135747e-04
1.500000000000000000e+03 4.887471081113053777e-04
1.512000000000000000e+03 4.524334956525722859e-04
1.524000000000000000e+03 4.659945986506375910e-04
1.536000000000000000e+03 4.400452018672964985e-04
1.548000000000000000e+03 4.559757815369370657e-04
1.560000000000000000e+03 4.386818268376488144e-04
1.572000000000000000e+03 4.555138555207249558e-04
1.584000000000000000e+03 4.410482977073476888e-04
1.596000000000000000e+03 4.546577204659674513e-04
1.608000000000000000e+03 4.429022710102386196e-04
1.620000000000000000e+03 4.513741099646513631e-04
1.632000000000000000e+03 4.452992935857833629e-04
1.644000000000000000e+03 4.490344969857390316e-04
1.656000000000000000e+03 4.510953733678923117e-04
1.668000000000000000e+03 4.505956741785112807e-04
1.680000000000000000e+03 4.628085465383686981e-04
1.692000000000000000e+03 4.580043736465398436e-04
1.704000000000000000e+03 4.775729302816550414e-04
1.716000000000000000e+03 4.722699965918655514e-04
1.728000000000000000e+03 4.925012268526180771e-04
1.740000000000000000e+03 4.975684630843229400e-04
1.752000000000000000e+03 5.232420630568413670e-04
1.764000000000000000e+03 5.577766280827973133e-04
1.776000000000000000e+03 6.091171382644998411e-04
1.788000000000000000e+03 6.994449818700084961e-04
1.800000000000000000e+03 8.154189978134403173e-04
1.812000000000000000e+03 1.138975159912259186e-03
1.824000000000000000e+03 2.346623542407935345e-03
1.836000000000000000e+03 4.322724779504656147e-03
1.848000000000000000e+03 5.467875533985222004e-03
1.860000000000000000e+03 5.833605380821956822e-03
1.872000000000000000e+03 5.986433172254559780e-03
1.884000000000000000e+03 6.491387624981068138e-03
1.896000000000000000e+03 7.293621152776539815e-03
1.908000000000000000e+03 8.839675730879716087e-03
1.920000000000000000e+03 1.314957845823274546e-02
