# z, uu, vv, ww, tke
2.520000000000000000e+02 2.642960650136727194e-02 2.640931779812199717e-02 2.642273467775747842e-02 3.963082948862337029e-02
2.640000000000000000e+02 2.439330056725865295e-02 2.437467832855904487e-02 2.438655337290001474e-02 3.657726613435885454e-02
2.760000000000000000e+02 2.225759299599918556e-02 2.224067626866510494e-02 2.225287704254874654e-02 3.337557315360652199e-02
2.880000000000000000e+02 2.052171528986946811e-02 2.050720268942979319e-02 2.051692569947278361e-02 3.077292183938602418e-02
3.000000000000000000e+02 1.888657393669629717e-02 1.887431342026348047e-02 1.888409325793777988e-02 2.832249030744877702e-02
3.120000000000000000e+02 1.733666054340386384e-02 1.732539922167774041e-02 1.733364240397008982e-02 2.599785108452584703e-02
3.240000000000000000e+02 1.598465541297694123e-02 1.597549303751329836e-02 1.598256051294685495e-02 2.397135448171854727e-02
3.360000000000000000e+02 1.466202937440049328e-02 1.465269435283454193e-02 1.465985456502840248e-02 2.198728914613171798e-02
3.480000000000000000e+02 1.324757554422503411e-02 1.323927679705256232e-02 1.324561528430642961e-02 1.986623381279201128e-02
3.600000000000000000e+02 1.186258488450466810e-02 1.185521587438008104e-02 1.186110660968130344e-02 1.778945368428302629e-02
3.720000000000000000e+02 1.059028606830389463e-02 1.058479597694426261e-02 1.058945195868008123e-02 1.588226700196411836e-02
3.840000000000000000e+02 9.432634758786424822e-03 9.427948891537658166e-03 9.432341356571812344e-03 1.414646250344794853e-02
3.960000000000000000e+02 8.550139014600761575e-03 8.545364617734276663e-03 8.549778161825224293e-03 1.282264089708013040e-02
4.080000000000000000e+02 7.714579589214773381e-03 7.710513776232305432e-03 7.714607210318647976e-03 1.156985028788286296e-02
4.200000000000000000e+02 6.899836237779725066e-03 6.896171602111582366e-03 6.899824326840298463e-03 1.034791608336580251e-02
4.320000000000000000e+02 6.096579781419902283e-03 6.093577433605757397e-03 6.096678537690324029e-03 9.143417876357992288e-03
4.440000000000000000e+02 5.363104291081230782e-03 5.360510118655818432e-03 5.363451195408941614e-03 8.043532802572994980e-03
4.560000000000000000e+02 4.669303565761720974e-03 4.667345705701078998e-03 4.670319876584234052e-03 7.003484574023517012e-03
4.680000000000000000e+02 4.026682856923852367e-03 4.025186148009352212e-03 4.028052346129401030e-03 6.039960675531303239e-03
4.800000000000000000e+02 3.444026617628197923e-03 3.442993427670755675e-03 3.445784230815809087e-03 5.166402138057381126e-03
4.920000000000000000e+02 2.966662285827158935e-03 2.965914480999320285e-03 2.968206384597795594e-03 4.450391575712137407e-03
5.040000000000000000e+02 2.538410619869349918e-03 2.537821126955613557e-03 2.539806554873383707e-03 3.808019150849173591e-03
5.160000000000000000e+02 2.182122245994978175e-03 2.181754458971891467e-03 2.183181285225112376e-03 3.273528995095991226e-03
5.280000000000000000e+02 1.891378683760772811e-03 1.891201682119150783e-03 1.892342597430130306e-03 2.837461481655026950e-03
5.400000000000000000e+02 1.649728322799860021e-03 1.649604956041216073e-03 1.650490838468288406e-03 2.474912058654681925e-03
5.520000000000000000e+02 1.481590998156778229e-03 1.481575985799435738e-03 1.482475341618096900e-03 2.222821162787155542e-03
5.640000000000000000e+02 1.340255470805784164e-03 1.340230547562847908e-03 1.340909099913910199e-03 2.010697559141271136e-03
