# z, Tu, Tv, Tw
2.520000000000000000e+02 4.061229464333056391e-08 -4.084739252623614522e-09 -2.414615694723227755e-06
2.640000000000000000e+02 4.166057101539013588e-08 8.937257075947885969e-11 -2.420102184144689963e-06
2.760000000000000000e+02 4.291245423960993066e-08 -4.800065698573534710e-09 -2.349745524490339005e-06
2.880000000000000000e+02 4.096046192489367380e-08 -6.461215028699347134e-09 -2.324813824633164247e-06
3.000000000000000000e+02 4.114778033472931703e-08 -5.639095666293303216e-09 -2.247171819616530088e-06
3.120000000000000000e+02 3.948291875891355930e-08 -3.150189488469735987e-09 -2.228771123301254166e-06
3.240000000000000000e+02 4.196581989118367134e-08 -3.000306880321548793e-09 -2.256261250500868518e-06
3.360000000000000000e+02 4.280720084838495576e-08 -1.332727074547175386e-09 -2.228489368639513583e-06
3.480000000000000000e+02 4.037437532355428916e-08 -5.971263468155075661e-09 -2.180337381182002476e-06
3.600000000000000000e+02 4.198111606630786440e-08 -4.036390486574215226e-09 -2.091389489446976627e-06
3.720000000000000000e+02 3.936658701872765537e-08 -2.092011561850905560e-09 -1.993112524272526639e-06
3.840000000000000000e+02 3.712104655385949185e-08 1.660046182130914052e-09 -1.958565437915356808e-06
3.960000000000000000e+02 3.810067821466837213e-08 -1.133133121774406883e-09 -1.962907661215875695e-06
4.080000000000000000e+02 3.645288591770424982e-08 1.403263685503653677e-09 -1.914897322801326098e-06
4.200000000000000000e+02 3.858255340810327506e-08 -4.036182334232246704e-09 -1.805448476536103657e-06
4.320000000000000000e+02 3.847545942184037690e-08 1.770603889750926639e-09 -1.648068997647995479e-06
4.440000000000000000e+02 3.578773938028628974e-08 7.987713522456284168e-09 -1.515573218470075954e-06
4.560000000000000000e+02 3.309621446653033805e-08 8.154141015248717289e-09 -1.397606831898329764e-06
4.680000000000000000e+02 3.258738363097006144e-08 3.912110993761153552e-09 -1.334802294079347265e-06
4.800000000000000000e+02 3.011348063555417890e-08 5.318338424540552428e-09 -1.215594435244955459e-06
4.920000000000000000e+02 2.512266392624290689e-08 5.785185308425495153e-09 -1.100989657099310789e-06
5.040000000000000000e+02 2.315523097569721728e-08 2.963742138947700905e-09 -1.075360933846422195e-06
